
*****NOUN DICT*****

diri 	 N 	 intercalary_month
kaskal 	 N 	 travel_basket
Agu 	 PN 	 Agu
Szarahegal 	 PN 	 Szarahegal
Urisztaran 	 PN 	 Urisztaran
Lugaluszur 	 PN 	 Lugaluszur
Uramana 	 PN 	 Uramana
ennug 	 N 	 prison
Danupi 	 PN 	 Danupi
Adda 	 PN 	 Adda
Elam 	 EN 	 1
Arti'a 	 PN 	 Arti'a
Amurutu 	 PN 	 Amurutu
dabin 	 N 	 semolina
Erabani 	 PN 	 Erabani
Szulgirdangada 	 PN 	 Szulgirdangada
Urabzu 	 PN 	 Urabzu
Muszudu 	 MN 	 1
Muriqtidnim 	 ON 	 1
Urgesztinanka 	 PN 	 Urgesztinanka
Lu'abu 	 PN 	 Lu'abu
Adudu 	 PN 	 Adudu
szukur 	 N 	 prebend_land
Inimanizi 	 PN 	 Inimanizi
tir 	 N 	 forester
Uremasz 	 PN 	 Uremasz
Lugalhili 	 PN 	 Lugalhili
Urtulmah 	 PN 	 Urtulmah
Lugalzage 	 PN 	 Lugalzage
Szarakam 	 PN 	 Szarakam
Bayansa 	 PN 	 Bayansa
Habaluge 	 PN 	 Habaluge
Dugani 	 PN 	 Dugani
Luhegal 	 PN 	 Luhegal
Luga 	 PN 	 Luga
Szakuge 	 PN 	 Szakuge
Lalmes 	 PN 	 Lalmes
Abuda 	 PN 	 Abuda
Lusaga 	 PN 	 Lusaga
Abaszaragin 	 PN 	 Abaszaragin
Bali 	 PN 	 Bali
Urani 	 PN 	 Urani
Gidaha 	 FN 	 1
Lu'irisagki 	 PN 	 Lu'irisagki
Lugalgumah 	 PN 	 Lugalgumah
Laz 	 DN 	 1
Bibi'a 	 PN 	 Bibi'a
saggal 	 N 	 food
Urnanszeka 	 PN 	 Urnanszeka
ur 	 N 	 roof
e'uzga 	 N 	 building_type
Luninszubur 	 PN 	 Luninszubur
Lugalennun 	 PN 	 Lugalennun
Aba'enlilgin 	 PN 	 Aba'enlilgin
Duga 	 PN 	 Duga
Ezemmekigal 	 MN 	 1
Lana 	 PN 	 Lana
Urzu 	 PN 	 Urzu
naruamah 	 N 	 magnificent_stele
maszdanita 	 N 	 male_gazelle
maszdamunus 	 N 	 female_gazelle
Nannamaba 	 PN 	 Nannamaba
sagnigGArak 	 N 	 available_assets
Maszdagu 	 MN 	 1
esza 	 N 	 flour
Nalul 	 PN 	 Nalul
kunga 	 N 	 equid_type
Aba 	 PN 	 Aba
Unu 	 SN 	 1
imgaga 	 N 	 emmer
Lanimu 	 PN 	 Lanimu
siki 	 N 	 wool
Ezemmah 	 MN 	 1
Lugallusasa 	 PN 	 Lugallusasa
Karzida 	 SN 	 1
ummud 	 N 	 waterskin
esir 	 N 	 shoe
ib 	 N 	 middle
szugan 	 N 	 pot_type
duggan 	 N 	 leather_bag
Madaga 	 SN 	 1
3(gesz'u) 	 NU 	 six_hundred
Lamah 	 FN 	 1
Biduga 	 PN 	 Biduga
Atu 	 PN 	 Atu
Eana 	 TN 	 1
Urmami 	 PN 	 Urmami
GANmah 	 FN 	 1
Urenuna 	 PN 	 Urenuna
Hurti 	 SN 	 1
asz 	 NU 	 one
Szu'enlila 	 PN 	 Szu'enlila
lungak 	 N 	 brewer
Guzani 	 PN 	 Guzani
Ursaga 	 PN 	 Ursaga
Gula 	 DN 	 1
Namhani 	 PN 	 Namhani
sagi 	 N 	 cup_bearer
dub 	 N 	 tablet
Lu'igimasze 	 PN 	 Lu'igimasze
uszbar 	 N 	 weaver
GANmasz 	 MN 	 1
dabatum 	 N 	 textile_type
suGAN 	 N 	 metallurgical_material
Gayagaya 	 PN 	 Gayagaya
Utubara 	 PN 	 Utubara
Maszkugu 	 MN 	 1
Gayagagaya 	 PN 	 Gayagagaya
Heti 	 PN 	 Heti
Geparkidu 	 PN 	 Geparkidu
1(asz 	 NU 	 c)
Lugalutu 	 PN 	 Lugalutu
e'udu 	 N 	 sheephouse
girlam 	 N 	 basket_type
Ha'ia 	 DN 	 1
E'u15 	 TN 	 1
giba'a 	 N 	 midnight
eszesz 	 N 	 festival
Sesdagu 	 MN 	 1
badgal 	 N 	 great_wall
Lubaba 	 PN 	 Lubaba
Urbadtibira 	 PN 	 Urbadtibira
Szaszrum 	 SN 	 1
Lugalmumag 	 PN 	 Lugalmumag
guru 	 N 	 grain_heap
Saharu'u 	 SN 	 1
